CW DISTRICT  OFFICES
Lee Elem School
Leland Elem School
Lenart Gifted Ctr
Lewis Elem School
Libby Elem School
Lincoln Elem School
Lincoln Park Early Learning Center
Lincoln Park High School
Lindblom Math & Science Acad.
Linne Elem School
Little Village Academy
Little Village Multiplex
Lloyd Elem School
Locke Elem School
Logan Square School (formerly Monroe)
Lovett Elem School
Lowell Elem School
Lozano Blg. & Int'l. Ctr.
Lyon Elem School
Madero Elementary School
Madison Elem School
Manierre Elem School
Manley High School
Mann Elem School
Marine Leadership Acad. at Ames
Marquette West Elem School
Marsh Elem School
Marshall Metro High School
Mason Elem School
Mather High School
Mayer Elem School
Mays Academy
McAuliffe, C. Elem. School
McCormick Elem School
McCutcheon Elem School
McDade Classical School
McDowell Elem School
McKay Elem School
McNair School of Excellence
McPherson Elem School
Melody Elem School
Metcalfe Magnet School
Minoso Elem School (formerly McClellan)
Mireles Academy
Mitchell Elem School
Mollison Elem School
Monarcas Elem School (formerly Tonti)
Moos Elem School
Morgan Park High School
Morrill Elem School
Morton School of Excellence
Mosaic Elem School (formerly Boone)
Mozart Elem School
Mt. Greenwood Elementary School
Mt. Vernon Elem School
Multicultural Arts School
Murphy Elem School
Murray Language Academy
Nash Elem School
National Teachers Academy
Neil Elem School
Nettelhorst Elem School
New Bronzeville/Englewood HS
New Field Primary School
New Sullivan Elem. School
Newberry Magnet School
Nicholson Elem School
Nightingale Elem School
Ninos Heroes Magnet School
Nixon Elem School
Nobel Elem School
North River Elem. School
North-Grand H.S.
Northside College Prep. H.S.
Northside Learning Center
Northwest Middle School
Norwood Park Elem School
O'Keeffe Elem School
O'Toole Elem School
Ogden International Elem School
Ogden International High School
Oglesby Elem School
Onahan Elem School
Oriole Park Elem School
Orozco Comm Academy
Orr Academy High School
Otis Elem School
Owen, W. Scholastic Acad.
Owens, J. Elem. Comm. Academy
Palmer Elem School
Park Manor Elem School
Parker Comm Academy
Parkside Comm Academy
Pasteur Elem School
Payton College Prep.
Peace & Ed. Coal. Altr. H.S.
Peck Elem School
Peirce Elem School
Penn Elem School
Perez Elem School
Pershing East Magnet School
Peterson Elem. School
Phillips High School
Phoenix Mil. Acad.
Piccolo Specialty School
Pickard Elem School
Pilsen Comm Academy
Pirie Elem School
Plamondon Elem School
Poe Classical School
Portage Park Elem School
Powell Elem School
Prescott Elem School
Prieto Academy
Pritzker, A N  Elem School
Prosser Voc High School
Prussing Elem School
Pulaski Comm. Academy
Pullman Elem School
Raby School (Flower)
Randolph Magnet School
Ravenswood Elem School
Ray Elem School
Reavis Elem School
Reilly Elem School
Reinberg Elem School
Revere Elem School
Richards Academy
Richardson Middle School
Rickover Naval Academy
Robinson Elem School
Rogers Elem School
Roosevelt High School
Rudolph Learning Center
Ruggles Elem School
Ruiz Elementary School
Ryder Elem School
STEM
Sabin Magnet School
Sadlowski Elementary School
Salazar Blng Ed Ctr
Sandoval Elem. School
Saucedo Scholastic Academy
Sauganash Elem School
Sawyer Elem School
Sayre Language Academy
Scammon Elem School
Schmid Elem School
Schubert Elem School
Schurz High School
Senn High School
Seward Elem School
Sheridan, M. Academy
Sherman Elem School
Sherwood Elem School
Shields Elem School
Shields Middle School
Shoesmith Elem School
Shoop Academy
Simeon Vocational High School
Simpson Academy
Skinner Classical West School
Skinner North School
Smith, W. Elem School
Smyser Elem School
Smyth, J. Elem School
Social Justice High School
Solomon Elem School
Solorio Academy High School
Sor Juana Classical
South Loop Elem School
South Shore Fine Arts Academy
South Shore Int'l Col. Prep.
Southside Occ. Academy
Spencer Elem School
Spry Comm Links H.S.
Spry Elem School
Stagg Elem School
Steinmetz High School
Stevenson Elem School
Stock, F. Elem School
Stone Scholastic Academy
Stowe Elem School
Suder Campus Montessori
Sullivan High School
Sumner Elem School
